tweet_id,text,retweets,urls,mentions,hashtags,emoji,emoji_text,cleaned_text
1265806237834321921,"SHE IS AN ELECTED OFFICIAL AND GOT ATTACKED BY THE POLICE. AGAIN: SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. https://t.co/9pE10JW2uk",19872,['https://t.co/9pE10JW2uk'],[],[],"[': SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. https:']","[': SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. https:']","SHE IS AN ELECTED OFFICIAL AND GOT ATTACKED BY THE POLICE. AGAIN: SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. "
1265787518974377991,"quarantine will someday end, but I hope this continues https://t.co/aCTzXZqzIV",19781,['https://t.co/aCTzXZqzIV'],[],[],[],[],"quarantine will someday end, but I hope this continues "
1257816842300768256,"Quote of the year: “If you expect elementary school children to endure the trauma of active shooter drills for your freedoms, you can wear a mask to Costco.”",19554,[],[],[],[],[],"Quote of the year: “If you expect elementary school children to endure the trauma of active shooter drills for your freedoms, you can wear a mask to Costco.”"
1266343312304324608,I gotta be honest the worst looting I've ever seen take place happened a few weeks ago when corporations collected over 500 billion dollars in stimulus money while everyone else was left with a $1200 dollar check and having to decide if they pay for food or rent..,19527,[],[],[],[],[],I gotta be honest the worst looting I've ever seen take place happened a few weeks ago when corporations collected over 500 billion dollars in stimulus money while everyone else was left with a $1200 dollar check and having to decide if they pay for food or rent..
1258599146522464256,Because if its Baghdad its okay for this to happen...? https://t.co/UdFy61zoT5,19457,['https://t.co/UdFy61zoT5'],[],[],[],[],Because if its Baghdad its okay for this to happen...? 
1265624335898869760,"Y'all, the mask goes OVER your nose.",19351,[],[],[],[],[],"Y'all, the mask goes OVER your nose."
1260696026970816512,"Alright it's international giveaway time - Looking to make someone's quarantine time a little more fun!

Giving away this customized SNES Edition Nintendo Switch

Just RETWEET to enter and I'll pick a random winner in 24 hours.

Shoutout to @ColorWare for making this possible! https://t.co/DorttSrQvR",19311,['https://t.co/DorttSrQvR'],['@ColorWare'],[],[],[],"Alright it's international giveaway time - Looking to make someone's quarantine time a little more fun!

Giving away this customized SNES Edition Nintendo Switch

Just RETWEET to enter and I'll pick a random winner in 24 hours.

Shoutout to  for making this possible! "
1256717572373913605,Update: Got her permission with a fuck yeah. The cop pushed her so hard at Barclays &amp; she flung back. She is tiny. Now she’s in the ER after a serious seizure. I’m waiting for updates but have to wait outside because of COVID-19. Please keep my protest sister in your thoughts. https://t.co/MqV0QJ0D8h,19289,['https://t.co/MqV0QJ0D8h'],[],[],[],[],Update: Got her permission with a fuck yeah. The cop pushed her so hard at Barclays &amp; she flung back. She is tiny. Now she’s in the ER after a serious seizure. I’m waiting for updates but have to wait outside because of COVID-19. Please keep my protest sister in your thoughts. 
1265890872417230848,Update FedEx called and told me to take down this video and fired both of us Today .. I’m reposting this video because people like him doesn’t matter white or any race should never disrespect essential workers putting their lives in jeopardy especially with this covid-19 https://t.co/Fw0S5gNRso,19207,['https://t.co/Fw0S5gNRso'],[],[],[],[],Update FedEx called and told me to take down this video and fired both of us Today .. I’m reposting this video because people like him doesn’t matter white or any race should never disrespect essential workers putting their lives in jeopardy especially with this covid-19 
1266041589455077381,"Voting by mail is safe and secure. Especially during a pandemic.

But Trump continues to say – without evidence – it will lead to voter fraud and that it’s not “honest voting.”

That’s. Simply. Not. True.

RT if you support everyone being able to vote safely by mail in November.",19176,[],[],[],[],[],"Voting by mail is safe and secure. Especially during a pandemic.

But Trump continues to say – without evidence – it will lead to voter fraud and that it’s not “honest voting.”

That’s. Simply. Not. True.

RT if you support everyone being able to vote safely by mail in November."
